#Table1
objid,photora,photodec,u,g,r,i,z,fid,firstra,firstdec,integr
1237667254014248187,180.893443477151,29.8896045539333,25.89467,25.37943,22.82831,21.05673,20.46744,1237667254014248187,180.893165168428,29.8894712985823,3.126619
1237667254014247202,180.849620007439,29.7580213615576,22.03054,22.00681,21.48014,21.08925,21.3828,1237667254014247202,180.849588561523,29.7579901570596,4.271122
1237667254014247865,180.799833457744,29.766219378578,23.13912,22.36011,21.30298,20.03774,19.11947,1237667254014247865,180.799946746636,29.7662478557661,2.00362
1237667254014247508,180.848563851398,29.8546276262476,22.87638,22.38696,20.83615,19.82219,19.24409,1237667254014247508,180.848495731256,29.8544187677618,1.144672
